ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.6683,Trayvon,Palmer,SG,DET,CHA,DET@CHA,7:00PM EST,10,1.4," "," "
nba.p.4724,Gordon,Hayward,SF,CHA,DET,DET@CHA,7:00PM EST,25,31.0," "," "
nba.p.4800,Ish,Smith,PG,CHA,DET,DET@CHA,7:00PM EST,10,12.2," "," "
nba.p.5192,Mason,Plumlee,C,CHA,DET,DET@CHA,7:00PM EST,18,24.0," "," "
nba.p.5475,Kelly,Oubre Jr.,SF,CHA,DET,DET@CHA,7:00PM EST,18,26.0," "," "
nba.p.5476,Terry,Rozier,SG,CHA,DET,DET@CHA,7:00PM EST,24,30.8," "," "
nba.p.6023,Miles,Bridges,PF,CHA,DET,DET@CHA,7:00PM EST,31,38.1," "," "
nba.p.6066,Arnoldas,Kulboka,SF,CHA,DET,DET@CHA,7:00PM EST,10,0.0," "," "
nba.p.6174,PJ,Washington,C,CHA,DET,DET@CHA,7:00PM EST,20,25.0,INJ," "
nba.p.6224,Cody,Martin,SG,CHA,DET,DET@CHA,7:00PM EST,14,22.9," "," "
nba.p.6240,Jalen,McDaniels,PF,CHA,DET,DET@CHA,7:00PM EST,10,15.2," "," "
nba.p.6395,LaMelo,Ball,PG,CHA,DET,DET@CHA,7:00PM EST,39,43.2," "," "
nba.p.6424,Vernon,Carey Jr.,C,CHA,DET,DET@CHA,7:00PM EST,10,6.3,INJ," "
nba.p.6434,Nick,Richards,C,CHA,DET,DET@CHA,7:00PM EST,10,9.2," "," "
nba.p.6553,James,Bouknight,SG,CHA,DET,DET@CHA,7:00PM EST,10,6.5," "," "
nba.p.6561,Kai,Jones,C,CHA,DET,DET@CHA,7:00PM EST,10,1.3," "," "
nba.p.6579,JT,Thor,PF,CHA,DET,DET@CHA,7:00PM EST,10,8.8," "," "
nba.p.6598,Scottie,Lewis,SG,CHA,DET,DET@CHA,7:00PM EST,10,2.8,INJ," "
nba.p.6685,Jaysean,Paige,PG,DET,CHA,DET@CHA,7:00PM EST,10,1.7," "," "
nba.p.3826,Andre,Iguodala,SF,GS,DAL,GS@DAL,7:30PM EST,11,18.5,GTD," "
nba.p.4612,Stephen,Curry,PG,GS,DAL,GS@DAL,7:30PM EST,42,45.0," "," "
nba.p.4766,Nemanja,Bjelica,PF,GS,DAL,GS@DAL,7:30PM EST,10,15.2," "," "
nba.p.4892,Klay,Thompson,SG,GS,DAL,GS@DAL,7:30PM EST,10,0.0,INJ," "
nba.p.5069,Draymond,Green,PF,GS,DAL,GS@DAL,7:30PM EST,30,34.3," "," "
nba.p.5154,Otto,Porter Jr.,PF,GS,DAL,GS@DAL,7:30PM EST,17,20.2," "," "
nba.p.5292,Andrew,Wiggins,SF,GS,DAL,GS@DAL,7:30PM EST,23,30.2," "," "
nba.p.5490,Kevon,Looney,C,GS,DAL,GS@DAL,7:30PM EST,10,18.5," "," "
nba.p.5733,Damion,Lee,SG,GS,DAL,GS@DAL,7:30PM EST,10,14.4," "," "
nba.p.5739,Gary,Payton II,PG,GS,DAL,GS@DAL,7:30PM EST,13,17.4," "," "
nba.p.6119,Chris,Chiozza,PG,GS,DAL,GS@DAL,7:30PM EST,10,7.1," "," "
nba.p.6216,Jordan,Poole,SG,GS,DAL,GS@DAL,7:30PM EST,20,28.2," "," "
nba.p.6237,Quinndary,Weatherspoon,SG,GS,DAL,GS@DAL,7:30PM EST,10,6.1," "," "
nba.p.6329,Juan,Toscano-Anderson,PF,GS,DAL,GS@DAL,7:30PM EST,10,13.8," "," "
