ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.6476,Xavier,Sneed,SG,MEM,BKN,MEM@BKN,7:30PM EST,10,1.2," "," "
nba.p.6506,Shaq,Buchanan,PG,MEM,BKN,MEM@BKN,7:30PM EST,10,4.2,INJ," "
nba.p.6552,Ziaire,Williams,SF,MEM,BKN,MEM@BKN,7:30PM EST,10,9.1,INJ," "
nba.p.6572,Santi,Aldama,PF,MEM,BKN,MEM@BKN,7:30PM EST,10,8.5," "," "
nba.p.6629,Yves,Pons,SF,MEM,BKN,MEM@BKN,7:30PM EST,10,1.3," "," "
nba.p.4130,LaMarcus,Aldridge,C,BKN,MEM,MEM@BKN,7:30PM EST,20,25.9,GTD," "
nba.p.4175,Paul,Millsap,C,BKN,MEM,MEM@BKN,7:30PM EST,10,10.2," "," "
nba.p.4244,Kevin,Durant,PF,BKN,MEM,MEM@BKN,7:30PM EST,52,48.8," "," "
nba.p.4561,Blake,Griffin,C,BKN,MEM,MEM@BKN,7:30PM EST,10,17.6," "," "
nba.p.4563,James,Harden,PG,BKN,MEM,MEM@BKN,7:30PM EST,52,49.0," "," "
nba.p.4621,James,Johnson,PF,BKN,MEM,MEM@BKN,7:30PM EST,10,14.8," "," "
nba.p.4660,Patty,Mills,SG,BKN,MEM,MEM@BKN,7:30PM EST,17,22.0," "," "
nba.p.4840,Kyrie,Irving,SG,BKN,MEM,MEM@BKN,7:30PM EST,10,44.4,INJ," "
nba.p.5344,Joe,Harris,SG,BKN,MEM,MEM@BKN,7:30PM EST,12,18.6,INJ," "
nba.p.5388,Langston,Galloway,SG,BKN,MEM,MEM@BKN,7:30PM EST,10,6.0," "," "
nba.p.5652,DeAndre',Bembry,SF,BKN,MEM,MEM@BKN,7:30PM EST,10,15.7," "," "
nba.p.5746,Shaquille,Harrison,PG,BKN,MEM,MEM@BKN,7:30PM EST,10,8.6," "," "
nba.p.6043,Jevon,Carter,PG,BKN,MEM,MEM@BKN,7:30PM EST,10,7.3," "," "
